編號,韓文,羅馬拼音,中文,英文
1,것,geot,東西、事物,A thing or an object
2,하다,hada,做、幹,To do
3,있다,itda,有、在、存在,To be
4,수,su,方法、辦法、數量,"way, method, Number"
5,하다,hada,做、幹,To do
6,나,na,我,"I, me"
7,없다,eopda,沒有、不在,"Do not exist, absent"
8,않다,anta,不、未（否定）,To not do
9,사람,saram,人,Person
10,우리,uri,我們、我們的,"we, our"
11,그,geu,他、那個,"He, That"
12,아니다,anida,不是,To not be
13,보다,boda,嘗試、試看（~해 보다）,To try
14,거,geo,東西、事（것的口語）,thing
15,보다,boda,看、看見,To see
16,같다,gatda,像、相同、好像,To be similar
17,주다,juda,給、給予、替...做,"To give, to do for a person"
18,대하다,daehada,對待、面對、關於,"Face, confront"
19,가다,gada,去、走,To go
20,년,nyeon,年、年份,Year
21,한,han,一、一個、某一,"One, a single"
22,말,mal,話、言語、語言,"words,speaking"
23,일,il,工作、事情,Work
24,이,i,這個人、人,"A person, a man/woman"
25,말하다,malhada,說話、說,Speak
26,위하다,wihada,為了、為,To do for the sake of
27,그러나,geureona,但是、然而,However or but still
28,오다,oda,來,To come
29,알다,alda,知道、認識,To know
30,씨,ssi,先生、女士、氏,~ Mr.
31,그렇다,geureota,是那樣、沒錯,That is right or yes.
32,크다,keuda,大、長大,"To be big, large"
33,일,il,一日、一天,One day
34,사회,sahoe,社會,"culture,society"
35,많다,manta,多、許多,"many, much"
36,안,an,不、沒（否定副詞）,~ not ~ + VERB
37,좋다,jota,好、喜歡,To be good
38,더,deo,更、更加、再,More
39,받다,batda,收到、接受,Receive
40,그것,geugeot,那個、那件事,That thing
41,집,jip,家、房子,House
42,나오다,naoda,出來、出現,Come out
43,그리고,geurigo,還有、而且、然後,And or and then
44,문제,munje,問題,"question,problem"
45,그런,geureon,那樣的,Such a
46,살다,salda,生活、居住,To live
47,저,jeo,那個（冠形詞）,That
48,못하다,mothada,不能、做不到、做不好,Be impossible
49,생각하다,saenggakhada,想、思考、認為,To think
50,모르다,moreuda,不知道、不認識,To not know
51,속,sok,裡面、內部、內心,The inside
52,만들다,mandeulda,製作、做、製造,To make
53,데,de,處所、地方、方面,"Place, point, instance"
54,앞,ap,前面、前方,"In front of, before"
55,경우,gyeongu,情況、場合,A case or an instance
56,중,jung,中、之中、當中,"The center, the middle"
57,어떤,eotteon,什麼樣的、某個,"What kind of, what sort of"
58,잘,jal,好、擅長、仔細,Well
59,그녀,geunyeo,她,She
