編號,韓文,羅馬拼音,中文,英文,Level (TOPIK等級),Part of Speech (詞性)
1,것,geot,東西、事物,A thing or an object,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
2,하다,hada,做、幹,To do,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
3,있다,itda,有、在、存在,To be,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
4,수,su,方法、辦法、數量,"way, method, Number",A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
5,하다,hada,做、幹,To do,A,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
6,나,na,我,"I, me",A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
7,없다,eopda,沒有、不在,"Do not exist, absent",A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
8,않다,anta,不、未（否定）,To not do,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
9,사람,saram,人,Person,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
10,우리,uri,我們、我們的,"we, our",A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
11,그,geu,他、那個,"He, That",A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
12,아니다,anida,不是,To not be,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
13,보다,boda,嘗試、試看（~해 보다）,To try,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
14,거,geo,東西、事（것的口語）,thing,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
15,보다,boda,看、看見,To see,A,補助用言 (Auxiliary / 補助用言 (Auxiliary / 보조용언)，如 ～버리다、～싶다。조용언)，如 ～버리다、～싶다。
16,같다,gatda,像、相同、好像,To be similar,A,形容詞 (Adjective / 형용사)，如 크다（大）、좋다（好）。
17,주다,juda,給、給予、替...做,"To give, to do for a person",A,補助詞 (Auxiliary Particle / 보조사) 或其他接尾助詞。
18,대하다,daehada,對待、面對、關於,"Face, confront",B,名詞 (Noun / 명사)，如 사람（人）、집（家）。
19,가다,gada,去、走,To go,A,動詞 (Verb / 동사)，如 하다（做）、가다（去）。
20,년,nyeon,年、年份,Year,A,依存名詞 / 量詞 (Dependent Noun / 의존명사)，如 것（東西/事情）、개（個）、명（名）。
21,한,han,一、一個、某一,"One, a single",A,冠形詞 (Determiner / 관형사)，如 한（一個）、어떤（某種）。
22,말,mal,話、言語、語言,"words,speaking",A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
23,일,il,工作、事情,Work,A,名詞 (Noun / 명사)，如 사람（人）、집（家）。
24,이,i,這個人、人,"A person, a man/woman",A,代名詞 (Pronoun / 대명사)，如 나（我）、우리（我們）、그（他）。
